Reference_ID,Title,DOI,Alt_DOI,Date,Journal,Author,Citation (Nature style),Publication Title,ISBN,ISSN,Url,Date Added,Access Date,Pages,Issue,Volume,Journal Abbreviation
21,"Biogeographic and Ecological Regulation of Disease: Prevalence of Sin Nombre Virus in Island Mice Is Related to Island Area, Precipitation, and Predator Richness",10.1086/659632,,2011,The American Naturalist,"Orrock, John L.; Allan, Brian F.; Drost, Charles A.","Orrock, J. L., Allan, B. F. & Drost, C. A. Biogeographic and Ecological Regulation of Disease: Prevalence of Sin Nombre Virus in Island Mice Is Related to Island Area, Precipitation, and Predator Richness. The American Naturalist 177, 691–697 (2011).",The American Naturalist,,"0003-0147, 1537-5323",https://www.journals.uchicago.edu/doi/10.1086/659632,6/10/24 14:48,6/10/24 14:48,691-697,5,177,The American Naturalist
22,"Changes in Rodent Abundance and Weather Conditions Potentially Drive Hemorrhagic Fever with Renal Syndrome Outbreaks in Xi’an, China, 2005–2012",10.1371/journal.pntd.0003530,,2015,PLOS neglected tropical diseases,"Tian, Huai-Yu; Yu, Peng-Bo; Luis, Angela D.; Bi, Peng; Cazelles, Bernard; Laine, Marko; Huang, Shan-Qian; Ma, Chao-Feng; Zhou, Sen; Wei, Jing; Li, Shen; Lu, Xiao-Ling; Qu, Jian-Hui; Dong, Jian-Hua; Tong, Shi-Lu; Wang, Jing-Jun; Grenfell, Bryan; Xu, Bing","Tian, H.-Y. et al. Changes in Rodent Abundance and Weather Conditions Potentially Drive Hemorrhagic Fever with Renal Syndrome Outbreaks in Xi’an, China, 2005–2012. PLoS Negl Trop Dis 9, e0003530 (2015).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0003530,6/10/24 11:25,6/10/24 11:25,e0003530,3,9,PLoS Negl Trop Dis
24,Climate and environmental factors influencing Echinococcus multilocularis occurrence in the Slovak Republic,"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",17195995,2006,Annals of Agricultural and Environmental Medicine,"Miterpáková, Martina; Dubinský, Pavol; Reiterová, Katarína; Stanko, Michal","Miterpáková, M., Dubinský, P., Reiterová, K. & Stanko, M. Climate and environmental factors influencing Echinococcus multilocularis occurrence in the Slovak Republic. Ann Agric Environ Med 13, 235–242 (2006).",Annals of agricultural and environmental medicine: AAEM,,1232-1966,,6/10/24 11:28,,235-242,2,13,Ann Agric Environ Med
26,Climate Anomalies and Spillover of Bat-Borne Viral Diseases in the Asia–Pacific Region and the Arabian Peninsula,https://doi.org/10.3390/v14051100,,2022,MDPI Viruses,"Latinne, Alice; Morand, Serge","Latinne, A. & Morand, S. Climate Anomalies and Spillover of Bat-Borne Viral Diseases in the Asia–Pacific Region and the Arabian Peninsula. Viruses 14, 1100 (2022).",Viruses,,1999-4915,https://www.mdpi.com/1999-4915/14/5/1100,6/10/24 11:29,6/10/24 11:29,1100,5,14,Viruses
27,Climate change accelerates winter transmission of a zoonotic pathogen,https://doi.org/10.1007/s13280-021-01594-y,,2022,Ambio: A Journal of Environment and Society,"Sipari, Saana; Khalil, Hussein; Magnusson, Magnus; Evander, Magnus; Hörnfeldt, Birger; Ecke, Frauke","Sipari, S. et al. Climate change accelerates winter transmission of a zoonotic pathogen. Ambio 51, 508–517 (2022).",Ambio,,"0044-7447, 1654-7209",https://link.springer.com/10.1007/s13280-021-01594-y,6/10/24 14:48,6/10/24 14:48,508-517,3,51,Ambio
28,"Climate Conditions During a Rift Valley Fever Post-epizootic Period in Free State, South Africa, 2014–2019",10.3389/fvets.2021.730424,,2022,Frontiers in veterinary science,"Anyamba, Assaf; Damoah, Richard; Kemp, Alan; Small, Jennifer L.; Rostal, Melinda K.; Bagge, Whitney; Cordel, Claudia; Brand, Robert; Karesh, William B.; Paweska, Janusz T.","Anyamba, A. et al. Climate Conditions During a Rift Valley Fever Post-epizootic Period in Free State, South Africa, 2014–2019. Front. Vet. Sci. 8, 730424 (2022).",Frontiers in Veterinary Science,,2297-1769,https://www.frontiersin.org/articles/10.3389/fvets.2021.730424/full,6/10/24 11:30,6/10/24 11:30,730424,,8,Front. Vet. Sci.
30,"Climate drivers of plague epidemiology in British India, 1898–1949",http://dx.doi.org/10.1098/rspb.2020.0538,,2020,Proceedings of the Royal Society B: Biological sciences,"Tennant, Warren S. D.; Tildesley, Mike J.; Spencer, Simon E. F.; Keeling, Matt J.","Tennant, W. S. D., Tildesley, M. J., Spencer, S. E. F. & Keeling, M. J. Climate drivers of plague epidemiology in British India, 1898–1949. Proc. R. Soc. B. 287, 20200538 (2020).",Proceedings of the Royal Society B: Biological Sciences,,"0962-8452, 1471-2954",https://royalsocietypublishing.org/doi/10.1098/rspb.2020.0538,6/10/24 11:31,6/10/24 11:31,20200538,1928,287,Proc. R. Soc. B.
31,Climate drives the spatiotemporal dynamics of scrub typhus in China,10.1111/gcb.16395,,2022,Global Change Biology,"Ding, Fangyu; Wang, Qian; Hao, Mengmeng; Maude, Richard James; John Day, Nicholas Philip; Lai, Shengjie; Chen, Shuai; Fang, Liqun; Ma, Tian; Zheng, Canjun; Jiang, Dong","Ding, F. et al. Climate drives the spatiotemporal dynamics of scrub typhus in China. Global Change Biology 28, 6618–6628 (2022).",Global Change Biology,,"1354-1013, 1365-2486",https://onlinelibrary.wiley.com/doi/10.1111/gcb.16395,6/10/24 14:44,6/10/24 14:44,6618-6628,22,28,Global Change Biology
32,Climate factors and incidence of Middle East respiratory syndrome coronavirus,https://doi.org/10.1016/j.jiph.2019.11.011,,2019,Journal of Infection and Public Health,"Altamimi, Asmaa; Ahmed, Anwar E.","Altamimi, A. & Ahmed, A. E. Climate factors and incidence of Middle East respiratory syndrome coronavirus. Journal of Infection and Public Health 13, 704–708 (2020).",Journal of Infection and Public Health,,18760341,https://linkinghub.elsevier.com/retrieve/pii/S187603411930351X,6/10/24 11:31,6/10/24 11:31,704-708,5,13,Journal of Infection and Public Health
34,Climate Predictors of the Spatial Distribution of Human Plague Cases in the West Nile Region of Uganda,10.4269/ajtmh.2012.11-0569,,2012,American Journal of Tropical Medicine and Hygiene,"Eisen, Rebecca J.; Monaghan, Andrew J.; Griffith, Kevin S.; Apangu, Titus; Mead, Paul S.; Acayo, Sarah; Moore, Sean M.; Acidri, Rogers; Mpanga, Joseph Tendo; Enscore, Russel E.; MacMillan, Katherine; Gage, Kenneth L.","Eisen, R. J. et al. Climate Predictors of the Spatial Distribution of Human Plague Cases in the West Nile Region of Uganda. The American Journal of Tropical Medicine and Hygiene 86, 514–523 (2012).",The American Journal of Tropical Medicine and Hygiene,,"0002-9637, 1476-1645",https://ajtmh.org/doi/10.4269/ajtmh.2012.11-0569,6/10/24 14:48,6/10/24 14:48,514-523,3,86,
35,Climate Variability and Hemorrhagic Fever with Renal Syndrome Transmission in Northeastern China,10.1289/ehp.0901504,,2010,Environmental Health Perspectives,"Zhang, Wen-Yi; Guo, Wei-Dong; Fang, Li-Qun; Li, Chang-Ping; Bi, Peng; Glass, Gregory E.; Jiang, Jia-Fu; Sun, Shan-Hua; Qian, Quan; Liu, Wei; Yan, Lei; Yang, Hong; Tong, Shi-Lu; Cao, Wu-Chun","Zhang, W.-Y. et al. Climate Variability and Hemorrhagic Fever with Renal Syndrome Transmission in Northeastern China. Environ Health Perspect 118, 915–920 (2010).",Environmental Health Perspectives,,"0091-6765, 1552-9924",https://ehp.niehs.nih.gov/doi/10.1289/ehp.0901504,6/10/24 11:32,6/10/24 11:32,915-920,7,118,Environ Health Perspect
36,Climate Variability and Transmission of Japanese Encephalitis in Eastern China,10.1089/153036603768395807,,2003,Mary Ann Liebert: vector-borne and zoonotic diseases,"Bi, Peng; Tong, Shilu; Donald, Ken; Parton, Kevin A.; Ni, Jinfa","Bi, P., Tong, S., Donald, K., Parton, K. A. & Ni, J. Climate Variability and Transmission of Japanese Encephalitis in Eastern China. Vector-Borne and Zoonotic Diseases 3, 111–115 (2003).",Vector-Borne and Zoonotic Diseases,,"1530-3667, 1557-7759",https://www.liebertpub.com/doi/10.1089/153036603768395807,6/10/24 11:32,6/10/24 11:32,111-115,3,3,Vector-Borne and Zoonotic Diseases
37,"Climate variability, satellite-derived physical environmental data and human leptospirosis: A retrospective ecological study in China",https://doi.org/10.1016/j.envres.2019.06.004,,2019,Mary Ann Liebert: vector-borne and zoonotic diseases,"Dhewantara, Pandji Wibawa; Hu, Wenbiao; Zhang, Wenyi; Yin, Wen-Wu; Ding, Fan; Mamun, Abdullah Al; Soares Magalhães, Ricardo J.","Dhewantara, P. W. et al. Climate variability, satellite-derived physical environmental data and human leptospirosis: A retrospective ecological study in China. Environmental Research 176, 108523 (2019).",Environmental Research,,139351,https://linkinghub.elsevier.com/retrieve/pii/S0013935119303123,6/10/24 11:33,6/10/24 11:33,108523,,176,Environmental Research
38,"Climate Variability, Weather and Enteric Disease Incidence in New Zealand: Time Series Analysis",10.1371/journal.pone.0083484,,2013,PLOS One,"Lal, Aparna; Ikeda, Takayoshi; French, Nigel; Baker, Michael G.; Hales, Simon","Lal, A., Ikeda, T., French, N., Baker, M. G. & Hales, S. Climate Variability, Weather and Enteric Disease Incidence in New Zealand: Time Series Analysis. PLoS ONE 8, e83484 (2013).",PLoS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0083484,6/10/24 11:33,6/10/24 11:33,e83484,12,8,PLoS ONE
39,"Climate Warming and Tick-borne Encephalitis, Slovakia",10.3201/eid1603.081364,,2010,Emerging Infectious Diseases,"Lukan, Martin; Bullova, Eva; Petko, Branislav","Lukan, M., Bullova, E. & Petko, B. Climate Warming and Tick-borne Encephalitis, Slovakia. Emerg. Infect. Dis. 16, 524–526 (2010).",Emerging Infectious Diseases,,"1080-6040, 1080-6059",http://wwwnc.cdc.gov/eid/article/16/3/08-1364_article.htm,6/10/24 11:33,6/10/24 11:33,524-526,3,16,Emerg. Infect. Dis.
40,"Climate, soils, and connectivity predict plague epizootics in black-tailed prairie dogs (Cynomys ludovicianus)",10.1890/10-1946.1,,2011,Ecological Applications,"Savage, Lisa T.; Reich, Robin M.; Hartley, Laurel M.; Stapp, Paul; Antolin, Michael F.","Savage, L. T., Reich, R. M., Hartley, L. M., Stapp, P. & Antolin, M. F. Climate, soils, and connectivity predict plague epizootics in black-tailed prairie dogs ( Cynomys ludovicianus ). Ecological Applications 21, 2933–2943 (2011).",Ecological Applications,,1051-0761,http://doi.wiley.com/10.1890/10-1946.1,6/10/24 11:33,6/10/24 11:33,2933-2943,8,21,Ecological Applications
41,Climatic Determinants of Japanese Encephalitis in Bihar State of India: A Time-Series Poisson Regression Analysis,https://doi.org/10.24321/0019.5138.201729,,2017,Journal of Communicable Diseases,"Pravin, P., Praveen, K., Parth, S. P. & Pradeep, D.","Pravin, P., Praveen, K., Parth, S. P. & Pradeep, D. Climatic Determinants of Japanese Encephalitis in Bihar State of India: A Time-Series Poisson Regression Analysis. JCD 49, 13–18 (2018).",Journal of Communicable Diseases,,195138,https://medical.adrpublications.in/index.php/Journal-CommunicableDiseases/article/view/1274,6/10/24 11:34,6/10/24 11:34,13-18,4,49,JCD
42,"Climatic, reservoir and occupational variables and the transmission of haemorrhagic fever with renal syndrome in China",https://doi.org/10.1093/ije/31.1.189,,2002,International Journal of Epidemiology,"Bi, Peng; Tong, Shilu; Donald, Ken; Parton, Kevin; Ni, Jinfa","Bi, P., Tong, S., Donald, K., Parton, K. & Ni, J. Climatic, reservoir and occupational variables and the transmission of haemorrhagic fever with renal syndrome in China. International Journal of Epidemiology 31, 189–193 (2002).",International Journal of Epidemiology,,"1464-3685, 0300-5771",https://academic.oup.com/ije/article-lookup/doi/10.1093/ije/31.1.189,6/10/24 11:35,6/10/24 11:35,189-193,1,31,
43,Correlation between meteorological factors and tick-borne encephalitis incidence in the Czech Republic,10.1007/s00436-008-1061-x,,2008,Parasitology Research,"Daniel, M.; Kříž, B.; Danielová, V.; Valter, J.; Kott, I.","Daniel, M., Kříž, B., Danielová, V., Valter, J. & Kott, I. Correlation between meteorological factors and tick-borne encephalitis incidence in the Czech Republic. Parasitol Res 103, 97–107 (2008).",Parasitology Research,,"0932-0113, 1432-1955",http://link.springer.com/10.1007/s00436-008-1061-x,6/10/24 11:35,6/10/24 11:35,97-107,S1,103,Parasitol Res
45,Crimean-Congo hemorrhagic fever and its relationship with climate factors in southeast Iran: a 13-year experience,10.3855/jidc.4020,,2014,Journal of Infection in Developing Countries,"Ansari, Hossein; Shahbaz, Babak; Izadi, Shahrokh; Zeinali, Mohammad; Tabatabaee, Seyyed Mehdi; Mahmoodi, Mahmood; Holakouie Naieni, Kourosh; Mansournia, Mohammad Ali","Ansari, H. et al. Crimean-Congo hemorrhagic fever and its relationship with climate factors in southeast Iran: a 13-year experience. J Infect Dev Ctries 8, 749–757 (2014).",The Journal of Infection in Developing Countries,,1972-2680,https://jidc.org/index.php/journal/article/view/24916874,6/10/24 11:35,6/10/24 11:35,749-757,6,8,J Infect Dev Ctries
46,Describing fine spatiotemporal dynamics of rat fleas in an insular ecosystem enlightens abiotic drivers of murine typhus incidence in humans,https://doi.org/10.1371/journal.pntd.0009029,,2021,PLOS neglected tropical diseases,"Tran, Annelise; Le Minter, Gildas; Balleydier, Elsa; Etheves, Anaïs; Laval, Morgane; Boucher, Floriane; Guernier, Vanina; Lagadec, Erwan; Mavingui, Patrick; Cardinale, Eric; Tortosa, Pablo","Tran, A. et al. Describing fine spatiotemporal dynamics of rat fleas in an insular ecosystem enlightens abiotic drivers of murine typhus incidence in humans. PLoS Negl Trop Dis 15, e0009029 (2021).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0009029,6/10/24 11:59,6/10/24 11:59,e0009029,2,15,PLoS Negl Trop Dis
47,The Role of Weather in the Spread of Lassa Fever in Parts of Northern Nigeria,10.9734/IJTDH/2021/v42i2330562,,2021,International Journal of Tropical Disease & Health,"Nchom, Joyce Imara; Abubakar, A. S.; Arimoro, F. O.; Mohammed, B. Y.","Nchom, J. I., Abubakar, A. S., Arimoro, F. O. & Mohammed, B. Y. The Role of Weather in the Spread of Lassa Fever in Parts of Northern Nigeria. IJTDH 33–40 (2021) doi:10.9734/ijtdh/2021/v42i2330562.",International Journal of TROPICAL DISEASE & Health,,2278-1005,https://journalijtdh.com/index.php/IJTDH/article/view/1221,6/10/24 11:59,6/10/24 11:59,33-40,,,IJTDH
48,"Distribution of alveolar echinococcosis according to environmental and geographical factors in Germany, 1992-2018",https://doi.org/10.1016/j.actatropica.2020.105654,,2020,Acta Tropica,"Fischer, Iris; Graeter, Tilmann; Kratzer, Wolfgang; Stark, Klaus; Schlingeloff, Patrycja; Schmidberger, Julian","Fischer, I. et al. Distribution of alveolar echinococcosis according to environmental and geographical factors in Germany, 1992-2018. Acta Tropica 212, 105654 (2020).",Acta Tropica,,0001706X,https://linkinghub.elsevier.com/retrieve/pii/S0001706X20313218,6/10/24 11:59,6/10/24 11:59,105654,,212,Acta Tropica
50,"Driving effect of multiplex factors on human brucellosis in high incidence region, implication for brucellosis based on one health concept",https://doi.org/10.1016/j.onehlt.2022.100449,,2022,One Health,"Peng, Ruihao; Wang, Ying; Zhai, Jingbo; Zhang, Jinsong; Lu, Yuying; Yi, Huaimin; Yan, Haozhen; Peng, Yuanli; Sharav, Tumenjargal; Chen, Zeliang","Peng, R. et al. Driving effect of multiplex factors on human brucellosis in high incidence region, implication for brucellosis based on one health concept. One Health 15, 100449 (2022).",One Health,,23527714,https://linkinghub.elsevier.com/retrieve/pii/S2352771422000817,6/10/24 11:59,6/10/24 11:59,100449,,15,One Health
51,Dynamic risk model for Rift Valley fever outbreaks in Kenya based on climate and disease outbreak data,10.4081/gh.2016.377,,2015,Geospatial Health,"Gikungu, David; Wakhungu, Jacob; Siamba, Donald; Neyole, Edward; Muita, Richard; Bett, Bernard","Gikungu, D. et al. Dynamic risk model for Rift Valley fever outbreaks in Kenya based on climate and disease outbreak data. Geospat Health 11, (2016).",Geospatial Health,,"1970-7096, 1827-1987",http://www.geospatialhealth.net/index.php/gh/article/view/377,6/10/24 12:00,6/10/24 12:00,,2,11,Geospat Health
52,Ecology of Arctic rabies: 60 years of disease surveillance in the warming climate of northern Canada,10.1111/zph.12848,,2021,Zoonoses and Public Health,"Simon, Audrey; Beauchamp, Guy; Bélanger, Denise; Bouchard, Catherine; Fehlner‐Gardiner, Christine; Lecomte, Nicolas; Rees, Erin; Leighton, Patrick A.","Simon, A. et al. Ecology of Arctic rabies: 60 years of disease surveillance in the warming climate of northern Canada. Zoonoses and Public Health 68, 601–608 (2021).",Zoonoses and Public Health,,"1863-1959, 1863-2378",https://onlinelibrary.wiley.com/doi/10.1111/zph.12848,6/10/24 12:00,6/10/24 12:00,601-608,6,68,Zoonoses and Public Health
53,"Effect of climatic factors on the seasonal fluctuation of human brucellosis in Yulin, northern China",https://doi.org/10.1186/s12889-020-08599-4,,2020,BMC Public Health,"Liu, Kun; Yang, Zurong; Liang, Weifeng; Guo, Tianci; Long, Yong; Shao, Zhongjun","Liu, K. et al. Effect of climatic factors on the seasonal fluctuation of human brucellosis in Yulin, northern China. BMC Public Health 20, 506 (2020).",BMC Public Health,,1471-2458,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08599-4,6/10/24 14:44,6/10/24 14:44,506,1,20,BMC Public Health
55,"Effect of temperature, relative humidity and rainfall on dengue fever and leptospirosis infections in Manila, the Philippines",10.1017/S095026881600203X,,2017,Epidemiology and Infection,"Sumi, A.; Telan, E. F. O.; Chagan-Yasutan, H.; Piolo, M. B.; Hattori, T.; Kobayashi, N.","Sumi, A. et al. Effect of temperature, relative humidity and rainfall on dengue fever and leptospirosis infections in Manila, the Philippines. Epidemiol. Infect. 145, 78–86 (2017).",Epidemiology and Infection,,"0950-2688, 1469-4409",https://www.cambridge.org/core/product/identifier/S095026881600203X/type/journal_article,6/10/24 12:00,6/10/24 12:00,78-86,1,145,Epidemiol. Infect.
56,"Effects of Climate and Rodent Factors on Hemorrhagic Fever with Renal Syndrome in Chongqing, China, 1997–2008",10.1371/journal.pone.0133218,,2015,PLOS One,"Bai, Yuntao; Xu, Zhiguang; Lu, Bo; Sun, Qinghua; Tang, Wenge; Liu, Xiaobo; Yang, Weizhong; Xu, Xinyi; Liu, Qiyong","Bai, Y. et al. Effects of Climate and Rodent Factors on Hemorrhagic Fever with Renal Syndrome in Chongqing, China, 1997–2008. PLoS ONE 10, e0133218 (2015).",PLOS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0133218,6/10/24 12:00,6/10/24 12:00,e0133218,7,10,PLoS ONE
57,"Effects of climate factors on hemorrhagic fever with renal syndrome in Changchun, 2013 to 2017",http://dx.doi.org/10.1097/MD.0000000000014640,,2019,Medicine,"Zhao, Qinglong; Yang, Xiaodi; Liu, Hongjian; Hu, Yixin; He, Minfu; Huang, Biao; Yao, Laishun; Li, Na; Zhou, Ge; Yin, Yuan; Li, Meina; Gong, Ping; Liu, Meitian; Ma, Juan; Ren, Zheng; Wang, Qi; Xiong, Wenjing; Fan, Xinwen; Guo, Xia; Zhang, Xiumin","Zhao, Q. et al. Effects of climate factors on hemorrhagic fever with renal syndrome in Changchun, 2013 to 2017. Medicine 98, e14640 (2019).",Medicine,,"0025-7974, 1536-5964",https://journals.lww.com/00005792-201903010-00023,6/10/24 12:01,6/10/24 12:01,e14640,9,98,
