es,Journal_5yr_Impact
0.070101868,3.389
0.037982109,3.147
0.009993613,3.147
0.013991225,3.147
0.007994854,3.147
1.159676068,3.147
1.179670483,3.147
1.259648143,3.147
0.779782184,3.147
0.999720748,3.147
0.679810109,3.147
1.139681653,3.147
0.719798939,3.147
0.407666588,3.272
0.282382074,3.272
0.655319149,3.272
0.139840132,4.568
0.047472428,3.746
0.381831741,3.746
0.158474491,3.746
1.651924591,2.306
0.337505006,4.548
0.246688255,4.548
0.609887833,3.272
1.049806926,3.272
0.919830831,3.272
0.619885994,3.272
0.2976,3.339
0.82336,3.339
0.646784,3.339
0.34765328,4.548
0.032002673,8.01
0.00399983,8.01
0.017999928,8.01
0.734751773,3.531
0.595744681,3.531
1.53350211,2.044
0,5.887
0,5.887
0.003989422,5.887
0.030782183,5.887
0.958863905,0.96
0.699171598,0.96
0.458289963,4.548
0.557918216,4.548
0.478215613,4.548
0.757174721,3.147
0.537992565,3.147
0.757174721,3.147
0.461724771,3.272
0.424073394,3.272
0.035744505,3.074
0.001651062,3.074
0.006654155,3.074
0.515195008,3.531
0.515195008,3.531
4.846993732,3.531
4.846993732,3.531
0.465273011,3.531
0.465273011,3.531
0.538780238,3.531
0.538780238,3.531
0.441310452,3.531
0.277566303,3.531
0.101840874,3.531
0.125803432,3.531
1.879269714,3.008
3.238741422,3.008
0,3.008
0.283073049,2.106
0.015453263,2.106
0.38608131,2.106
1.3888,4.548
1.34912,4.548
1.07136,4.548
0.4344007,2.106
0.281439453,2.106
0.4344007,2.106
0.196510113,2.106
0.292349714,2.106
0.122940973,2.106
0.32384115,2.106
0.122940973,2.106
0.292349714,2.106
0,2.106
0.185379429,2.106
0.144549631,2.106
0.40877049,2.106
0.281439453,2.106
0.052511158,2.106
0.185379429,2.106
0.052511158,2.106
0.223391062,2.106
0,2.106
0.381889542,2.106
0.149741773,2.306
0.317778179,2.306
0.004925518,2.306
0.109217709,4.548
0.001475507,4.548
0.046855708,4.548
0.310262785,3.147
0.000981612,3.147
0.0088346,3.147
0.051175843,3.413
0.258326662,3.413
0.04397547,3.413
0.024182425,3.413
5.288310212,1.899
0.050576188,1.899
2.401945767,1.899
0.032177839,1.899
0.372021164,4.548
0.348148148,4.548
0.618708995,4.548
1.565504587,1.605
1.258670419,1.605
1.355980296,1.605
0.957444543,1.605
1.09670987,1.605
1.070091743,1.605
0.719240239,1.605
1.056866995,1.605
0.837763975,1.605
1.156530409,1.605
1.327706422,1.605
0.998944777,1.605
1.296157635,1.605
0.957444543,1.605
1.256231306,1.605
2.024446973,1.748
0.074801352,1.748
0.046978409,3.272
0.07987427,4.548
0.003294681,4.548
0.014673287,4.548
0.780550226,2.306
1.146966417,2.306
0.746460116,3.272
0.003579191,3.272
0.534293642,3.272
0.006164162,3.272
0.471061272,3.272
0.012726012,3.272
0.617931034,4.098
0.753103448,4.098
0.56,4.098
0.212413793,4.098
0.251034483,4.098
0.366896552,4.098
0.984827586,4.098
0.270344828,4.098
0.005999887,8.01
0.539989837,8.01
0.019999624,8.01
0.359993225,8.01
0.289866736,4.568
0.820418325,4.568
1.114527961,4.568
0.003965555,4.568
0.010903373,4.568
0.229714953,4.568
0.298412698,3.531
0.537142857,3.531
0.07957672,3.531
0.410798624,3.531
0.463308547,3.531
0.361681529,3.147
0.039745223,3.147
0.178853503,3.147
0.031796178,3.147
0.178853503,3.147
0.482904459,3.147
0.943949045,3.147
0.494828025,3.147
0,3.147
0.838624204,3.147
0.55444586,3.147
0.548484076,3.147
0.349757962,3.147
0.13910828,3.147
0.198726115,3.147
0.401426752,3.147
0.317961783,3.147
0.158980892,3.147
0.735286624,3.147
0.298089172,3.147
0.158980892,3.147
1.238063694,3.147
0.703490446,3.147
1.12677707,3.147
1.158573248,3.147
0,3.147
0.357707006,3.147
0.196803696,3.531
0.057422153,3.531
0.771657523,3.531
0.289157284,3.272
2.043780608,3.272
0.152925842,2.106
1.369180328,0.377
1.119344262,0.377
0.04623236,0.377
0.419797525,3.074
0.875577696,3.074
4.163202811,8.01
2.098834319,8.01
0.582639916,8.01
2.573975239,8.01
0.004196765,5.887
0.041168267,5.887
0.129725217,3.478
1.041553774,4.409
0.033995093,4.409
0.037995884,4.409
0.032125089,4.548
0.057676323,4.548
0.112152835,4.548
0.108135445,4.548
0.608200726,4.548
0.12823643,4.548
0.777619532,3.531
0.450620549,3.531
0.15353001,3.531
0.789582909,3.531
0.376846389,3.531
0.12162767,3.531
1.114536585,2.929
0.756292683,2.929
0.437853659,2.929
0.716487805,2.929
0.497560976,2.929
0.696585366,2.929
0.021995977,3.272
0.029994515,3.272
0.081985006,3.272
0.021573116,4.548
0.006514883,4.548
0.039687619,4.548
0.105838126,2.308
0.031536862,3.147
0.030772149,3.147
0.085312128,3.147
1.258755187,4.975
0.489877377,3.389
0.533538786,3.389
0.039637901,3.389
0.1191045,3.389
0.013936267,3.531
0.006183258,3.531
0.012153494,3.531
0.008977406,3.531
0.345086709,4.548
0.010917405,4.548
0.999182784,2.849
1.003598579,2.306
0.268785236,2.306
0.016791499,1.797
0.016295126,1.797
0.812479492,8.01
1.39698059,3.531
1.778322337,3.531
1.374397835,3.531
0.173436613,3.147
0.047130965,3.147
0.045166113,3.147
0.263166175,3.147
0.039839771,3.147
0.079727412,3.147
0.025571204,3.272
0.00071919,3.272
0.114639728,2.658
0.016350652,2.658
0.047433232,3.272
0.001889173,3.272
0.05246303,3.272
0.645049365,3.272
0.00189617,3.272
0.033435726,3.272
0.361083584,3.272
0.001217046,3.272
0.050028571,3.272
0.195815476,4.548
0.000199808,0.128
0.019980788,0.128
1.198847262,0.128
1.534883721,1.064
1.016996385,4.032
0.861150181,4.032
0.28771607,4.032
0.747698671,3.272
0.011626329,3.272
0.743313266,3.272
0.114832489,3.272
0.139955766,2.845
0.319898894,2.845
0.003830986,5.963
0.884948086,4.548
0.360672269,3.272
0.003914511,3.272
0.359911755,2.2
0.538557435,2.106
0.718076581,2.106
0.698771359,14.123
0.16016517,2.525
1.031964002,2.525
0.418519389,2.106
1.590912321,4.409
1.698838533,4.409
1.558934184,4.409
1.806011119,4.409
1.759231553,4.409
1.499345073,4.409
1.584933901,4.409
0.859421914,4.409
0.099932781,4.409
1.6007008,4.409
1.199476059,4.409
1.399388735,4.409
1.739159511,4.409
0.359371728,4.409
0.758673647,4.409
0.988782288,4.409
0.0199754,4.409
0.279655597,4.409
0.598854233,3.074
0.334874372,6.856
0.196984925,6.856
0.019698492,6.856
0.357678382,2.306
2.247247197,2.306
0.999395039,9.734
0.199879008,9.734
0.599637024,9.734
1.199274047,9.734
1.199274047,9.734
0.921506133,1.545
0.742961996,1.545
0.448308367,1.545
0.185105266,1.545
0,1.545
0.559144319,1.545
0.808223859,1.545
1.654966322,1.545
0.165311631,1.545
0.082281899,1.545
0.150755672,1.545
0,1.545
0.512825187,3.515
0.037424308,3.515
0.15092498,3.778
0.000992683,3.778
0.146120043,3.778
0.35104498,4.744
0.290783845,4.744
0.302882306,4.744
0.007474242,0.84
0.615141746,0.84
0.000259952,3.147
0.038888535,2.929
1.233888751,2.929
0.043178194,4.975
0.007680545,4.975
0.008386645,2.323
0.002595866,2.323
0.152516385,3.147
3.378848625,3.074
0.001650934,4.548
0.420965064,2.525
0.045855283,2.525
0.233169619,2.727
0.001650741,2.727
