Reference_ID,row_unique,Data_ID,Environmental_condition,General_response,Response,Specific_response,Environmental_metric,General_Disease,Disease,Pathogen,Transmission,Transmission_type,Pathogen_genus,vector,Principal_reservoir,Specific_scale,General_Stats_Method,Statistical_method,N.value,temp_altered,Type,Linear_Nonlinear,R.squared,Value,Lower,Upper,Error,Std._error,P.value_general,P.value_specific,Direction,Direction_statement,DOI,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact,measure,n_method,X,Y,es,se,weight,sample.size,var,ci.lo,ci.hi
259,R729,X980,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI previous year (2003 SPI),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,387,0,Correlation coefficient,Linear,NA,-0.32,NA,NA,NA,NA,<0.01,2.00E-03,decrease,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2004,2007,1,12,N.value = 387 counties with â¥1 case in 2004; previous year SPI is 2003 SPI,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,-0.674203725,0.107516609,NA,387,0.011559821,-0.884936278,-0.463471172
259,R730,X981,Precipitation,Human disease incidence,Incidence,Cases per 100k,Annual SPI concurrent year (2004 SPI),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,387,0,Correlation coefficient,Linear,NA,0,NA,NA,NA,NA,>0.05,0.999,no change,Results; Table 1,10.1089/vbz.2006.0590,North America,United States,Overall,39.83,-98.58,2004,2007,1,0,Concurrent year SPI not associated with WNV incidence in 2004; reported p = 0.999,Vector-Borne and Zoonotic Diseases,NA,new,NA,NA,NA,0,0.101863121,NA,387,0.010376095,-0.199651718,0.199651718
12,R21,X43,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Echinococcoses,Alveolar echinococcosis,Parasite,Z,Non-vectored,Echinocococcus,NA,Mammals (multispecies),1,GL(M)M,Poisson model,12,y,Beta coefficient,Linear,NA,-0.62,-1.17,-0.04,95% Credible,NA,<0.05,NA,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009498,Asia,Kyrgyzstan,NA,42.882004,74.582748,2005,2021,1,NA,N-value is number of months of study (12),PLOS neglected tropical diseases,4.548,g,16,74.582748,42.882004,-1.255645956,0.744231952,NA,12,0.553881199,-2.714340583,0.20304867
12,R19,X41,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Echinococcoses,Cystic echinococcosis,Parasite,Z,Non-vectored,Echinocococcus,NA,Livestock,1,GL(M)M,Poisson model,12,y,Beta coefficient,Linear,NA,-0.12,-0.36,0.1,95% Credible,NA,>0.05,NA,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009498,Asia,Kyrgyzstan,NA,42.882004,74.582748,2005,2021,1,NA,N-value is number of months of study (12),PLOS neglected tropical diseases,4.548,g,16,74.582748,42.882004,-0.597004178,0.646760991,NA,12,0.418299779,-1.86465572,0.670647363
68,R138,X258,Precipitation,Host abundance,Abundance,Host number,Seasonal total,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Linear regression,17,NA,Unstandardised coefficient,Linear,NA,-0.37,NA,NA,NA,NA,>0.05,NA,decrease,Discussion,10.1186/1476-072X-6-55,Europe,Belgium,NA,NA,NA,2005,2007,1,12,"N-value is number of years of study,previous spring",Epidemiology and Infection,2.306,NA,64,4.4699,50.5039,NA,NA,NA,17,NA,NA,NA
68,R136,X256,Precipitation,Host infection,Seroprevalence,Virus prevalence,Seasonal total,Hantaviral diseases,Puumala virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Logistic regression,17,NA,Unstandardised coefficient,Linear,NA,-0.01,NA,NA,NA,NA,>0.05,NA,decrease,Discussion,10.1186/1476-072X-6-55,Europe,Belgium,NA,NA,NA,2005,2007,1,12,"N-value is number of years of study, previous autumn",Epidemiology and Infection,2.306,NA,64,4.4699,50.5039,NA,NA,NA,17,NA,NA,NA
170,R432,X644,Precipitation,Human disease incidence,Incidence,Case distribution,Annual mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,10,ST,Spatial lag regression,669,NA,Unstandardised coefficient,Linear,0.7932,-3.60E-05,NA,NA,NA,NA,>0.05,0.1,decrease,Abstract,10.1371/journal.pone.0022192,Asia,Nepal,NA,NA,NA,2005,2011,1,NA,Other tables and time periods available,PLOS One,3.272,NA,64,84.124,28.3949,-0.127411653,0.077568529,NA,669,0.006016877,-0.27944597,0.024622665
170,R431,X643,Temperature,Human disease incidence,Incidence,Case distribution,Annual mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,ST,Spatial lag regression,669,NA,Unstandardised coefficient,Linear,0.7932,0.0128,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1371/journal.pone.0022192,Asia,Nepal,NA,NA,NA,2005,2011,1,NA,Other tables and time periods available,PLOS One,3.272,NA,64,84.124,28.3949,0.199820359,0.077797519,NA,669,0.006052454,0.047337221,0.352303497
101,R204,X368b,Precipitation,Human disease incidence,Incidence,Monthly Incidence,Monthly total,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Zero inflated poisson regression,483,NA,Beta coefficient,Linear,NA,0.261,0.215,0.307,95% Credible,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,g,106,102.599,25.9559,1.012553896,0.102192574,NA,483,0.010443322,0.812256451,1.21285134
101,R207,X371,Temperature,Human disease incidence,Incidence,Monthly Incidence,September mean maximum,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,-0.051,NA,NA,NA,NA,>0.05,NA,decrease,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,-0.101973577,0.091263445,NA,483,0.008329016,-0.280849928,0.076902775
101,R208,X372,Precipitation,Human disease incidence,Incidence,Monthly Incidence,September total,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,0.063,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,2,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,0.126053835,0.091326096,NA,483,0.008340456,-0.052945314,0.305052983
101,R206,X370,Precipitation,Human disease incidence,Incidence,Monthly Incidence,August total,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,0.139,NA,NA,NA,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,0.280287224,0.092038151,NA,483,0.008471021,0.099892449,0.460681999
101,R205,X369,Temperature,Human disease incidence,Incidence,Monthly Incidence,August mean maximum,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,0.221,NA,NA,NA,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,0.45249903,0.093455477,NA,483,0.008733926,0.269326295,0.635671766
101,R203,X368a,Precipitation,Human disease incidence,Incidence,Monthly Incidence,July total,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,0.233,NA,NA,NA,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,0.478441277,0.093724277,NA,483,0.00878424,0.294741693,0.662140861
101,R201,X367a,Temperature,Human disease incidence,Incidence,Monthly Incidence,July mean maximum,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Spearman rank correlation,483,NA,Correlation coefficient,Linear,NA,0.258,NA,NA,NA,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,NA,200,102.599,25.9559,0.533248169,0.094338518,NA,483,0.008899756,0.348344674,0.718151664
101,R202,X367b,Temperature,Human disease incidence,Incidence,Monthly Incidence,Monthly mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Zero inflated poisson regression,483,NA,Beta coefficient,Linear,NA,1.097,0.979,1.223,95% Credible,NA,<0.05,NA,increase,Abstract,10.3390/ijerph110404201,Asia,China,Southwest,NA,NA,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531,g,106,102.599,25.9559,1.604657204,0.116926383,NA,483,0.013671779,1.375481493,1.833832915
152,R397,X584,Precipitation,Host infection,Seroprevalence,Seropositivity,Daily mean,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Logistic regression,386,NA,Odds ratio,Linear,NA,2.5,1,6.4,95% Confidence,NA,>0.05,0.06,increase,Abstract,10.1016/j.tvjl.2011.11.013,Europe,Sweden,Southern,NA,NA,2008,2011,1,NA,"Strain mouse 2A serovars, odds ratio is for every 1mm increase compared to mean",Vetinary Journal,NA,g,46,18.645,60.1282,0.504190239,0.260573801,NA,386,0.067898706,-0.00653441,1.014914889
152,R396,X583,Precipitation,Host infection,Seroprevalence,Seropositivity,Daily mean,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Logistic regression,386,NA,Odds ratio,Linear,NA,4.3,1.9,10,95% Confidence,NA,<0.01,7.00E-03,increase,Abstract,10.1016/j.tvjl.2011.11.013,Europe,Sweden,Southern,NA,NA,2008,2011,1,NA,"Bratislava serovars, odds ratio is for every 1mm increase compared to mean",Vetinary Journal,NA,g,46,18.645,60.1282,0.802604929,0.233121538,NA,386,0.054345652,0.345686714,1.259523144
263,R789,X1040,Temperature,Host infection,Seroprevalence,Equid seroprevalence (ELISA; MNT confirmed),MODIS night-time land surface temperature arithmetic mean 2001â2008; 1 km; temporal Fourier analysis; category 2 (middle tercile); 5-km buffer mean,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Binomial logistic regression; multimodel inference (QAICc); model averaging,74,0,Estimate,Nonlinear,NA,-0.37,-1.28,0.54,95% CI,NA,NA,NA,decrease,Results,10.1111/tbed.12077,Africa,Tunisia,National; 74 imadas,34,9,2009,2013,1,NA,Main effect shown; interaction with distance-to-Ramsar present in paper but excluded here as non-climate,Transboundary and Emerging Diseases,NA,new,NA,NA,NA,-0.366132404,NA,NA,NA,NA,NA,NA
263,R790,X1041,Temperature,Host infection,Seroprevalence,Equid seroprevalence (ELISA; MNT confirmed),MODIS night-time land surface temperature arithmetic mean 2001â2008; 1 km; temporal Fourier analysis; category 3 (upper tercile); 5-km buffer mean,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Binomial logistic regression; multimodel inference (QAICc); model averaging,74,0,Estimate,Nonlinear,NA,-0.51,-2.11,1.09,95% CI,NA,NA,NA,decrease,Results,10.1111/tbed.12077,Africa,Tunisia,National; 74 imadas,34,9,2009,2013,1,NA,As above; coefficients are relative to baseline category 1,Transboundary and Emerging Diseases,NA,new,NA,NA,NA,-0.50466899,NA,NA,NA,NA,NA,NA
267,R822,X1073,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 0 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,35,0,Odds ratio,Linear,NA,1.46,NA,NA,NA,NA,<0.01,6.40E-03,increase,Results (Table 2),10.1371/journal.pone.0056398,Asia,Israel,Ben Gurion Airport,32,34.87,2010,2013,1,0,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.203864859,0.074770226,NA,35,0.005590587,0.057315216,0.350414503
267,R823,X1074,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 1 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,34,0,Odds ratio,Linear,NA,1.28,NA,NA,NA,NA,<0.05,2.53E-02,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Greece,Larissa,39.64,22.42,2010,2013,1,0.25,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.132886108,0.059409263,NA,34,0.003529461,0.016443952,0.249328263
267,R824,X1075,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 1 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,34,0,Odds ratio,Linear,NA,0.97,NA,NA,NA,NA,<0.05,2.32E-02,decrease,Results (Table 2),10.1371/journal.pone.0056398,Europe,Russia,Volgograd,48.71,44.51,2010,2013,1,0.25,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,-0.016396355,0.007222666,NA,34,5.22E-05,-0.030552781,-0.002239929
267,R825,X1076,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 2 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,33,0,Odds ratio,Linear,NA,2.2,NA,NA,NA,NA,<0.001,7.00E-04,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Romania,ConstanÈa,44.18,28.65,2010,2013,1,0.5,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.424096903,0.125117864,NA,33,0.01565448,0.178865889,0.669327917
267,R826,X1077,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 2 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,33,0,Odds ratio,Linear,NA,1.1,NA,NA,NA,NA,<0.05,3.31E-02,increase,Results (Table 2),10.1371/journal.pone.0056398,Asia,Israel,Ben Gurion Airport,32,34.87,2010,2013,1,0.5,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.051265616,0.024058558,NA,33,0.000578814,0.004110843,0.098420389
267,R827,X1078,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 2 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,33,0,Odds ratio,Linear,NA,1.47,NA,NA,NA,NA,<0.01,2.30E-03,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Russia,Volgograd,48.71,44.51,2010,2013,1,0.5,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.207225653,0.067976649,NA,33,0.004620825,0.07399142,0.340459885
267,R828,X1079,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 3 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,32,0,Odds ratio,Linear,NA,2.69,NA,NA,NA,NA,<0.001,<0.0001,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Russia,Volgograd,48.71,44.51,2010,2013,1,0.75,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.531808973,0.16161819,NA,32,0.026120439,0.215037321,0.848580624
267,R829,X1080,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 3 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,32,0,Odds ratio,Linear,NA,1.85,NA,NA,NA,NA,<0.01,1.70E-03,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Romania,ConstanÈa,44.18,28.65,2010,2013,1,0.75,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.330619124,0.105353754,NA,32,0.011099413,0.124125767,0.537112482
267,R830,X1081,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 4 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,31,0,Odds ratio,Linear,NA,1.03,NA,NA,NA,NA,<0.05,0.03,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Romania,ConstanÈa,44.18,28.65,2010,2013,1,1,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.015871493,0.007313747,NA,31,5.35E-05,0.001536548,0.030206437
267,R831,X1082,Temperature,Human disease incidence,Incidence,Weekly WNF cases,"Mean weekly temperature anomaly (Â°C), lag 4 weeks",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Multinomial logistic regression,31,0,Odds ratio,Linear,NA,2.84,NA,NA,NA,NA,<0.001,<0.0001,increase,Results (Table 2),10.1371/journal.pone.0056398,Europe,Russia,Volgograd,48.71,44.51,2010,2013,1,1,Est. treated as odds ratio (table 'est.'); Weekly MarâOct 2010; Nâ35âlag; station/city centroid coords; SidÃ¡k Î±=0.01021.,PLoS ONE,NA,new,NA,NA,NA,0.560466831,0.17032739,NA,31,0.02901142,0.226625146,0.894308516
95,R185,X351,Precipitation,Host infection,Seroprevalence,Pathogen abundance,Annual total,Borrelioses,Lyme disease,Bacteria,ZVB,Vectored,Borrelia,Tick,Mammals (multispecies),1,GL(M)M,Generalised linear mixed-effects models,24,NA,Z-score,Linear,NA,0,0,0,Std. error,0,>0.05,0.93,no change,Discussion,http://dx.doi.org/10.1098/rstb.2016.0116,Africa,Kenya,Laikipia,0.36386,36.805827,2011,2017,1,NA,Borrelia rodent-borne pathogen,Philosophical Transaction of the Royal Society B: Biological Sciences,5.887,NA,200,36.805827,0.36386,0,NA,NA,NA,NA,NA,NA
