Response,Specific,Disease,P_V_B,Taxa_genus,Include,reason,type,vector,Environmental_condition,Specific_metric,Specific_scale,Statistical_method,N-value,temp_altered,Type,Linear_Nonlinear,R-squared,Value,Lower,Upper,Error,Std._error,P-value_general,P-value_specific,Direction,Direction_statement,DOI,Reference_ID,Data_ID,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact
Incidence,Incidence,Murine typhus,B,Rickettsia,Y,,HVH,F,Humidity,mean relative,1,Regression analysis,168,,Beta coefficient,Linear,,-0.001,-0.01,0.008,Std. error,0.009,>0.05,0.989,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009685.g006,5,X16,Asia,Laos,Vientiane,17.974855,102.630867,2003-2017,2021,1,,"N-value is number of months of study, smaller dataset used because environmental metrics directly correlated to sample",PLOS neglected tropical diseases,4.548
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,relative,1,Multivariate poisson regression,108,,Relative risk,Linear,,1.102,1.094,1.11,95% Confidence,,<0.001,,increase,Discussion,10.1186/1471-2458-13-347,6,X19,Asia,South Korea,,37.5326,127.024612,2001-2010,2013,1,4,"N-value is number of months of study, cumulative = mm/100",BMC Public Health,3.389
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,mean,1,Multivariate poisson regression,108,,Relative risk,Linear,,1.022,1.013,1.032,95% Confidence,,<0.001,,increase,Discussion,10.1186/1471-2458-13-347,6,X17,Asia,South Korea,,37.5326,127.024612,2001-2010,2013,1,1,N-value is number of months of study,BMC Public Health,3.389
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,cumulative,1,Multivariate poisson regression,108,,Relative risk,Linear,,1.022,1.018,1.026,95% Confidence,,<0.001,,increase,Discussion,10.1186/1471-2458-13-347,6,X18,Asia,South Korea,,37.5326,127.024612,2001-2010,2013,1,3,"N-value is number of months of study, cumulative = mm/1000",BMC Public Health,3.389
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,mean,1,Cross-correlation analysis,60,,Correlation coefficient,Linear,,0.515,,,,,<0.01,,increase,Discussion,10.1371/journal.pntd.0002615,8,X28,Asia,China,Chenzhou,25.77051,113.014718,2006-2010,2014,1,5,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,total,1,Cross-correlation analysis,60,,Correlation coefficient,Linear,,0.411,,,,,<0.01,,increase,Discussion,10.1371/journal.pntd.0002615,8,X29,Asia,China,Chenzhou,25.77051,113.014718,2006-2010,2014,1,5,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,mean relative,1,Cross-correlation analysis,60,,Correlation coefficient,Linear,,0.247,,,,,<0.05,,increase,Discussion,10.1371/journal.pntd.0002615,8,X30,Asia,China,Chenzhou,25.77051,113.014718,2006-2010,2014,1,3,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Incidence,Incidence,Amebiasis,P,Entamoeba,Y,HUMAN-HUMAN and zoonotic,HH,,Temperature,Annual mean,1,Linear regression,32,y,Beta coefficient,Linear,,61.98,27.58,96.44,95% Confidence,,<0.01,,increase,Discussion,https://doi.org/10.1007/s12639-020-01260-2,9,X33,North America,Mexico,,19.432608,-99.133209,2010,2020,1,,"N-value calculated by table 1 multiplied by Mexicos population/100,000 in 2010",Journal of Parasitic Diseases ,1.198
Incidence,Incidence,Amebiasis,P,Entamoeba,Y,,HH,,Precipitation,mean,1,Linear regression,32,y,Beta coefficient,Linear,,0.33,0.13,0.53,95% Confidence,,<0.01,,increase,Discussion,https://doi.org/10.1007/s12639-020-01260-2,9,X34,North America,Mexico,,19.432608,-99.133209,2010,2020,1,,"N-value calculated by table 1 multiplied by Mexicos population/100,000 in 2010",Journal of Parasitic Diseases ,1.198
Incidence,mortality,Rabies,V,Lyssavirus,Y,,HH,,Temperature,Monthly mean,1,Seasonal autoregressive time series models,432,,Beta coefficient,Linear,,0.1301,0.0936,0.1666,Std. error,0.0365,<0.05,,increase,Abstract,https://doi.org/10.1186/s12917-018-1588-8,11,X39,North America,Costa Rica,,9.934739,-84.087502,1985-2016,2018,1,17,N-value is number of months of study,BMC Veterinary Research,2.699
Incidence,mortality,Rabies,V,Lyssavirus,Y,,HH,,Precipitation,Monthly total,1,Seasonal autoregressive time series models,432,,Beta coefficient,Linear,,-0.0006,-0.0008,-0.0004,Std. error,0.0002,<0.05,,decrease,Abstract,https://doi.org/10.1186/s12917-018-1588-8,11,X40,North America,Costa Rica,,9.934739,-84.087502,1985-2016,2018,1,16,N-value is number of months of study,BMC Veterinary Research,2.699
Incidence,Incidence,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Precipitation,Annual mean,1,Poisson model,30,y,Beta coefficient,Linear,,0.28,0.28,-0.17,95% Credible,,>0.05,,increase,Abstract,https://doi.org/10.1371/journal.pntd.0009498,12,X44,Asia,Kyrgyzstan,,42.882004,74.582748,1970-2000,2021,1,,N-value is number of years of study,PLOS neglected tropical diseases,4.548
Incidence,Incidence,Cystic echinococcosis,P,Echinocococcus,Y,,HH,,Precipitation,Annual mean,1,Poisson model,30,y,Beta coefficient,Linear,,-0.03,-0.24,0.17,95% Credible,,>0.05,,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009498,12,X42,Asia,Kyrgyzstan,,42.882004,74.582748,1970-2000,2021,1,,N-value is number of years of study,PLOS neglected tropical diseases,4.548
Incidence,Incidence,Cystic echinococcosis,P,Echinocococcus,Y,,HH,,Temperature,Monthly mean,1,Poisson model,12,y,Beta coefficient,Linear,,-0.12,-0.36,0.1,95% Credible,,>0.05,,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009498,12,X41,Asia,Kyrgyzstan,,42.882004,74.582748,2005,2021,1,,N-value is number of months of study (12),PLOS neglected tropical diseases,4.548
Incidence,Incidence,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Temperature,Monthly mean,1,Poisson model,12,y,Beta coefficient,Linear,,-0.62,-1.17,-0.04,95% Credible,,<0.05,,decrease,Abstract,https://doi.org/10.1371/journal.pntd.0009498,12,X43,Asia,Kyrgyzstan,,42.882004,74.582748,2005,2021,1,,N-value is number of months of study (12),PLOS neglected tropical diseases,4.548
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly maximum,1,Seasonal autoregressive integrated moving average models,96,,Beta coefficient,Linear,0.83,0.082,0.027,0.137,95% Confidence,,<0.01,0.004,increase,Abstract,10.4269/ajtmh.12-0474,14,X49,Asia,China,Heilongjiang,45.811573,126.546707,2001-2009,2013,1,2,"N-value is the number of months in the study, cases and weather across province are aggregated monthly",American Journal of Tropical Medicine and Hygiene,2.106
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,Monthly relative,1,Seasonal autoregressive integrated moving average models,96,,Beta coefficient,Linear,0.83,-0.01,-0.016,-0.004,95% Confidence,,<0.01,0.002,decrease,Abstract,10.4269/ajtmh.12-0473,14,X48,Asia,China,Heilongjiang,45.811573,126.546707,2001-2009,2013,1,1,"N-value is the number of months in the study, cases and weather across province are aggregated monthly",American Journal of Tropical Medicine and Hygiene,2.106
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly mean,1,Cross-correlation analysis,96,,Correlation coefficient,Linear,,-0.28,,,,,<0.05,,decrease,Abstract,10.4269/ajtmh.12-0473,14,X47,Asia,China,Heilongjiang,45.811573,126.546707,2001-2009,2013,1,,"N-value is the number of months in the study, cases and weather across province are aggregated monthly",American Journal of Tropical Medicine and Hygiene,2.106
Cases,Monthly cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Cross-correlation analysis,96,,Correlation coefficient,Linear,,-0.36,,,,,<0.05,,decrease,Abstract,10.4269/ajtmh.12-0473,14,X46,Asia,China,Heilongjiang,45.811573,126.546707,2001-2009,2013,1,,"N-value is the number of months in the study, cases and weather across province are aggregated monthly",American Journal of Tropical Medicine and Hygiene,2.106
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Quarterly total,1,Linear regression,12,,Beta coefficient,Linear,,0.342,,,,,<0.05,0.03,increase,Discussion,10.1007/s10393-013-0849-z,17,X74,Asia,India,Dibrugarh,27.472834,94.911964,2008-2010,2013,1,,N-value is number of quarters (3 months) in study,EcoHealth,2.323
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Humidity,Quarterly mean relative,1,Linear regression,12,,Beta coefficient,Linear,,0.015,,,,,<0.05,0.04,increase,Discussion,10.1007/s10393-013-0849-z,17,X75,Asia,India,Dibrugarh,27.472834,94.911964,2008-2010,2013,1,,N-value is number of quarters (3 months) in study,EcoHealth,2.323
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Quarterly maximum,1,Linear regression,12,,Beta coefficient,Linear,,0.071,,,,,<0.05,0.044,decrease,Discussion,10.1007/s10393-013-0849-z,17,X73,Asia,India,Dibrugarh,27.472834,94.911964,2008-2010,2013,1,,N-value is number of quarters (3 months) in study,EcoHealth,2.323
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,Annual mean absolute,1,Generalised linear model,19,,Incidence rate ratio,Linear,0.78,1.026,1.017,1.037,95% Confidence,,<0.001,,increase,Abstract,10.1371/journal.pntd.0002260,18,X77,Asia,China,Changsha,28.228001,112.939003,1991-2010,2013,1,,N-value = number of years in study,PLOS neglected tropical diseases,4.548
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Annual total,1,Generalised linear model,19,,Incidence rate ratio,Linear,0.67,1.002,1.001,1.003,95% Confidence,,<0.001,,increase,Abstract,10.1371/journal.pntd.0002260,18,X76,Asia,China,Changsha,28.228001,112.939003,1991-2010,2013,1,5,N-value = number of years in study,PLOS neglected tropical diseases,4.548
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Precipitation,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,2.48,,,,,<0.001,,increase,Abstract,10.1186/s13567-016-0308-2,19,X85,Oceania,Australia,Murray-Darling Basin,-35.40926,143.762027,2006-2012,2016,1,6,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Precipitation,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,1.67,,,,,<0.001,,increase,Abstract,10.1186/s13567-016-0308-2,19,X81,Oceania,Australia,Victoria,-37.0201,144.9646,2006-2012,2016,1,5,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Precipitation,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,1.59,,,,,<0.001,,increase,Abstract,10.1186/s13567-016-0308-2,19,X83,Oceania,Australia,South East,-36.480196,143.93136,2006-2012,2016,1,4,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Precipitation,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,1.55,,,,,<0.001,,increase,Abstract,10.1186/s13567-016-0308-2,19,X79,Oceania,Australia,Melbourne,-37.840935,144.946457,2006-2012,2016,1,3,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Temperature,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,1.34,,,,,<0.05,,increase,Abstract,10.1186/s13567-016-0308-2,19,X84,Oceania,Australia,Murray-Darling Basin,-35.40926,143.762027,2006-2012,2016,1,6,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Temperature,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,0.97,,,,,>0.05,,decrease,Abstract,10.1186/s13567-016-0308-2,19,X80,Oceania,Australia,Victoria,-37.0201,144.9646,2006-2012,2016,1,5,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Temperature,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,0.88,,,,,>0.05,,decrease,Abstract,10.1186/s13567-016-0308-2,19,X78,Oceania,Australia,Melbourne,-37.840935,144.946457,2006-2012,2016,1,3,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Seroprevalence,Prevalence in host,Avian influenza,V,Alphainfluenzavirus,Y,,HH,,Temperature,Monthly anomaly,1,Generalised linear model,72,,Odds ratio,Linear,,0.88,,,,,>0.05,,decrease,Abstract,10.1186/s13567-016-0308-2,19,X82,Oceania,Australia,South East,-36.480196,143.93136,2006-2012,2016,1,4,"N-value is number of months of study, Anomaly means deviation from average value between 1961-1990",Veterinary Research,4.016
Abudance,Host number,Rabies,V,Lyssavirus,Y,,HH,,Temperature,daily diurnal range,1,Bayesian hierarchal models,966,,Odds ratio,Linear,,0.54,0.27,0.91,95% Credible,,<0.05,,decrease,Abstract,10.1371/journal.pntd.0004632,20,X86,North America,USA,North central plains,33.188714,-102.827989,2007-2013,2016,1,,N-value is number of hosts,PLOS neglected tropical diseases,4.548
Seroprevalence,Prevalence in host,Sin Nombre Virus,V,Hantavirus,Y,,HH,,Precipitation,Annual total,10,Linear regression,4626,,Beta coefficient,Linear,0.79,0.036,0.029,0.043,Std. error,0.007,<0.01,0.002,increase,Abstract,10.1086/659632,21,X87,North America,USA,Califronian channel islands,34.00966663,-119.8023301,1994,2011,1,,N-value derived from the fact datasets from 8 islands were used and no individual case number is cited,The American Naturalist,3.33
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Cross-correlation analysis,84,,Correlation coefficient,Linear,,0.49,,,,,<0.05,,increase,Abstract,10.1371/journal.pntd.0003530,22,X88,Asia,China,XI'an,34.341568,108.940178,2005-2012,2015,1,2,N-value is number of months in study,PLOS neglected tropical diseases,4.548
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Cross-correlation analysis,84,,Correlation coefficient,Linear,0.66,0.42,,,,,<0.05,,increase,Abstract,10.1371/journal.pntd.0003530,22,X89,Asia,China,XI'an,34.341568,108.940178,2005-2012,2015,1,3,N-value is number of months in study,PLOS neglected tropical diseases,4.548
Seroprevalence,Infection intensity,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Precipitation,Annual mean,1,Simple correlation,4,,Correlation coefficient,Linear,,0.973,,,,,<0.05,,increase,Discussion,"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",24,X96,Europe,Slovakia,,,,2000-2004,2006,1,,N-value is number of years of study,Annals of Agricultural and Environmental Medicine,1.514
Abundance,Prevalence,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Precipitation,Annual mean,1,Simple correlation,4,,Correlation coefficient,Linear,,0.933,,,,,<0.05,,increase,Discussion,"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",24,X94,Europe,Slovakia,,,,2000-2004,2006,1,,N-value is number of years of study,Annals of Agricultural and Environmental Medicine,1.514
Seroprevalence,Infection intensity,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Temperature,Annual mean,1,Simple correlation,4,,Correlation coefficient,Linear,,-0.297,,,,,>0.05,,decrease,Results,"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",24,X95,Europe,Slovakia,,,,2000-2004,2006,1,,N-value is number of years of study,Annals of Agricultural and Environmental Medicine,1.514
Abundance,Prevalence of host,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Temperature,Annual mean,1,Simple correlation,4,,Correlation coefficient,Linear,,-0.382,,,,,>0.05,,decrease,Discussion,"https://pubmed.ncbi.nlm.nih.gov/17195995/#:~:text=Climatic%20conditions%2C%20including%20low%20mean,multilocularis%20distribution.",24,X93,Europe,Slovakia,,,,2000-2004,2006,1,,N-value is number of years of study,Annals of Agricultural and Environmental Medicine,1.514
Incidence,Spillover event,Hendra virus,V,Henipavirus,Y,,HH,,Precipitation,Monthly mean,1,Logistic regression,62,,Beta coefficient,Linear,0.21,-0.01,-0.02,0,Std. error,0.01,<0.05,0.16,decrease,Discussion,https://doi.org/10.3390/v14051100,26,X99,Oceania,Australia,,,,1990-2020,2022,1,,N-value taken from figure 3,MDPI Viruses,4.975
Incidence,Spillover event,Nipah virus,V,Henipavirus,Y,,HH,,Precipitation,Monthly mean,1,Logistic regression,22,,Beta coefficient,Linear,0.3,-0.03,-0.04,-0.02,Std. error,0.01,<0.01,0.008,decrease,Discussion,https://doi.org/10.3390/v14051100,26,X100,Asia,Bangladesh,,,,1990-2020,2022,1,,N-value taken from figure 2,MDPI Viruses,4.975
Incidence,Spillover event,Hendra virus,V,Henipavirus,Y,,HH,,Temperature,Monthly mean,1,Logistic regression,62,,Beta coefficient,Linear,0.21,-0.11,-0.15,-0.07,Std. error,0.04,<0.05,0.013,decrease,Discussion,https://doi.org/10.3390/v14051100,26,X98,Asia,Australia,,,,1990-2020,2022,1,,N-value taken from figure 3,MDPI Viruses,4.975
Seroprevalence,Prevalence in host,Puumala virus,V,Hantavirus,Y,,HH,,Precipitation,November rain,1,Generalised linear model,6,,Odds ratio,Linear,,1.02,1.01,1.03,95% Confidence,,<0.001,,increase,Abstract,https://doi.org/10.1007/s13280-021-01594-y,27,X101,Europe,Sweden,Vasterbotten,64.344665,18.314209,"1980-1986, 2003-2013",2022,1,,N-value is the number of years of study,Ambio: A Journal of Environment and Society,5.014
Abudance,Abundance of host,Rift valley fever,V,Phlebovirus,Y,,HVH,M,Temperature,Monthly total,1,Negative binomial regression,2400,,Beta coefficient,Linear,,0.14202,0.08807,0.19597,Std. error,0.05395,>0.05,0.843,increase,Abstract,10.3389/fvets.2021.730424,28,X102,Africa,South Africa,Free State,-28,27,2014-2019,2022,1,,N-value = number of months of study,Frontiers in veterinary science,3.131
Abundance,Abundance of host,Rift valley fever,V,Phlebovirus,Y,,HVH,M,Precipitation,Monthly mean,1,Negative binomial regression,2400,,Beta coefficient,Linear,,-0.00281,-0.017,0.01138,Std. error,0.01419,<0.01,0.008,decrease,Abstract,10.3389/fvets.2021.730424,28,X103,Africa,South Africa,Free State,-28,27,2014-2019,2022,1,,N-value = number of months of study,Frontiers in veterinary science,3.131
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.33,,,,,<0.001,0.0008,increase,Results,https://doi.org/10.1038/s41598-019-43353-w,29,X113,South America,Brazil,Sao Luis,-2.52972,-44.30278,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.25,,,,,<0.01,0.007,increase,Abstract,https://doi.org/10.1038/s41598-019-43353-w,29,X108,South America,Brazil,Brasilia,-15.793889,-47.882778,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.21,,,,,<0.05,0.04,increase,Results,https://doi.org/10.1038/s41598-019-43353-w,29,X111,South America,Brazil,Fortaleza,-3.731862,-38.526669,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.14,,,,,>0.05,0.12,increase,Results,https://doi.org/10.1038/s41598-019-43353-w,29,X105,South America,Brazil,Recife,-8.05,-34.900002,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.004,,,,,>0.05,0.96,decrease,Results,https://doi.org/10.1038/s41598-019-43353-w,29,X109,South America,Brazil,Brasilia,-15.793889,-47.882778,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.01,,,,,>0.05,0.85,decrease,Results,https://doi.org/10.1038/s41598-019-43353-w,29,X107,South America,Brazil,Manaus,-3.117034,-60.02578,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.17,,,,,>0.05,0.08,decrease,Abstract,https://doi.org/10.1038/s41598-019-43353-w,29,X106,South America,Brazil,Manaus,-3.117034,-60.02578,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.19,,,,,<0.05,0.04,decrease,Abstract,https://doi.org/10.1038/s41598-019-43353-w,29,X104,South America,Brazil,Recife,-8.05,-34.900002,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.26,,,,,<0.01,0.01,decrease,Abstract,https://doi.org/10.1038/s41598-019-43353-w,29,X110,South America,Brazil,Fortaleza,-3.731862,-38.526669,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
Cases,Hospitilisation records,Mycoses,P,,Y,,HH,,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.36,,,,,<0.001,0.0008,decrease,Abstract,https://doi.org/10.1038/s41598-019-43353-w,29,X112,South America,Brazil,Sao Luis,-2.52972,-44.30278,2008-2016,2019,1,,N-value is number of months in study,Scientific Reports,4.409
